Function,File Path,Count
if,src\lib\components\admin\Settings\Models\ManageModelsModal.svelte,7
if,src\lib\components\admin\Settings\Models\ModelList.svelte,7
if,src\lib\components\admin\Settings\Models\Manage\ManageMultipleOllama.svelte,2
if,src\lib\components\admin\Settings\Models\Manage\ManageOllama.svelte,91
if,src\lib\components\admin\Users\Groups.svelte,8
if,src\lib\components\admin\Users\UserList.svelte,29
if,src\lib\components\admin\Users\Groups\AddGroupModal.svelte,2
if,src\lib\components\admin\Users\Groups\EditGroupModal.svelte,20
if,src\lib\components\admin\Users\Groups\GroupItem.svelte,2
if,src\lib\components\admin\Users\Groups\Users.svelte,7
if,src\lib\components\admin\Users\UserList\AddUserModal.svelte,15
if,src\lib\components\admin\Users\UserList\EditUserModal.svelte,2
if,src\lib\components\admin\Users\UserList\UserChatsModal.svelte,10
if,src\lib\components\app\AppSidebar.svelte,5
if,src\lib\components\channel\Channel.svelte,32
if,src\lib\components\channel\MessageInput.svelte,33
if,src\lib\components\channel\Messages.svelte,12
if,src\lib\components\channel\Navbar.svelte,5
if,src\lib\components\channel\Thread.svelte,23
if,src\lib\components\channel\MessageInput\InputMenu.svelte,4
if,src\lib\components\channel\Messages\Message.svelte,34
if,src\lib\components\channel\Messages\Message\ProfilePreview.svelte,4
if,src\lib\components\channel\Messages\Message\ReactionPicker.svelte,16
if,src\lib\components\chat\Artifacts.svelte,28
if,src\lib\components\chat\Chat.svelte,172
if,src\lib\components\chat\ChatControls.svelte,29
if,src\lib\components\chat\ChatPlaceholder.svelte,11
if,src\lib\components\chat\MessageInput.svelte,117
if,src\lib\components\chat\Messages.svelte,28
if,src\lib\components\chat\ModelSelector.svelte,6
if,src\lib\components\chat\Navbar.svelte,10
if,src\lib\components\chat\Overview.svelte,10
if,src\lib\components\chat\Placeholder.svelte,14
if,src\lib\components\chat\SettingsModal.svelte,30
if,src\lib\components\chat\ShareChatModal.svelte,15
if,src\lib\components\chat\Suggestions.svelte,14
if,src\lib\components\chat\Tags.svelte,2
if,src\lib\components\chat\ContentRenderer\FloatingButtons.svelte,24
if,src\lib\components\chat\Controls\Controls.svelte,4
if,src\lib\components\chat\Controls\Valves.svelte,25
if,src\lib\components\chat\MessageInput\CallOverlay.svelte,81
if,src\lib\components\chat\MessageInput\Commands.svelte,10
if,src\lib\components\chat\MessageInput\FilesOverlay.svelte,4
if,src\lib\components\chat\MessageInput\InputMenu.svelte,11
if,src\lib\components\chat\MessageInput\VoiceRecording.svelte,20
if,src\lib\components\chat\MessageInput\CallOverlay\VideoInputMenu.svelte,1
if,src\lib\components\chat\MessageInput\Commands\Knowledge.svelte,15
if,src\lib\components\chat\MessageInput\Commands\Models.svelte,3
if,src\lib\components\chat\MessageInput\Commands\Prompts.svelte,16
if,src\lib\components\chat\Messages\Citations.svelte,19
if,src\lib\components\chat\Messages\CitationsModal.svelte,21
if,src\lib\components\chat\Messages\CodeBlock.svelte,65
if,src\lib\components\chat\Messages\CodeExecutionModal.svelte,17
if,src\lib\components\chat\Messages\CodeExecutions.svelte,9
if,src\lib\components\chat\Messages\ContentRenderer.svelte,16
if,src\lib\components\chat\Messages\Markdown.svelte,1
if,src\lib\components\chat\Messages\Message.svelte,5
if,src\lib\components\chat\Messages\MultiResponseMessages.svelte,24
if,src\lib\components\chat\Messages\RateComment.svelte,27
if,src\lib\components\chat\Messages\ResponseMessage.svelte,106
if,src\lib\components\chat\Messages\UserMessage.svelte,36
if,src\lib\components\chat\Messages\Markdown\MarkdownInlineTokens.svelte,21
if,src\lib\components\chat\Messages\Markdown\MarkdownTokens.svelte,36
if,src\lib\components\chat\Messages\Markdown\Source.svelte,4
if,src\lib\components\chat\Messages\ResponseMessage\WebSearchResults.svelte,4
if,src\lib\components\chat\ModelSelector\Selector.svelte,47
if,src\lib\components\chat\Overview\Node.svelte,6
if,src\lib\components\chat\Settings\Account.svelte,19
if,src\lib\components\chat\Settings\Audio.svelte,14
if,src\lib\components\chat\Settings\Chats.svelte,8
if,src\lib\components\chat\Settings\Connections.svelte,8
if,src\lib\components\chat\Settings\General.svelte,8
if,src\lib\components\chat\Settings\Interface.svelte,37
if,src\lib\components\chat\Settings\Account\UpdatePassword.svelte,4
if,src\lib\components\chat\Settings\Advanced\AdvancedParams.svelte,110
if,src\lib\components\chat\Settings\Connections\Connection.svelte,2
if,src\lib\components\chat\Settings\Personalization\AddMemoryModal.svelte,3
if,src\lib\components\chat\Settings\Personalization\EditMemoryModal.svelte,4
if,src\lib\components\chat\Settings\Personalization\ManageModal.svelte,6
if,src\lib\components\common\Banner.svelte,10
if,src\lib\components\common\Checkbox.svelte,7
if,src\lib\components\common\CodeEditor.svelte,16
if,src\lib\components\common\Collapsible.svelte,25
if,src\lib\components\common\ConfirmDialog.svelte,13
if,src\lib\components\common\Drawer.svelte,6
if,src\lib\components\common\FileItem.svelte,21
if,src\lib\components\common\FileItemModal.svelte,12
