File Type,Element Type,Element Name
.ts,variable,deleteTagsById
.ts,function,removeDetails
.ts,variable,updateUserValvesById
.ts,variable,removeDetails
.ts,variable,deletePipeline
.ts,variable,getPromptList
.ts,variable,frontmatterStarted
.ts,function,getUserTimezone
.ts,variable,REQUIRED_OLLAMA_VERSION
.ts,function,validateCredentials
.ts,variable,prefixId
.ts,variable,validateCredentials
.ts,variable,startDelimiter
.ts,variable,getFolders
.ts,function,escapeRegex
.ts,variable,crc
.ts,variable,chatId
.ts,variable,addTagById
.ts,class,PyodideKernel
.ts,variable,oauthToken
.ts,variable,year
.ts,variable,updateConfig
.ts,variable,setDefaultPromptSuggestions
.ts,variable,updateOllamaConfig
.ts,variable,createNewGroup
.ts,variable,uploadFile
.ts,function,flyAndScale
.ts,variable,APP_NAME
.ts,variable,flyAndScale
.ts,variable,generateQueries
.ts,function,getTrimmedValue
.ts,variable,getOpenAIUrls
.ts,variable,keyParts
.ts,variable,summaryMatch
.ts,function,extractParagraphsForAudio
.ts,variable,scaleConversion
.ts,function,detailsStart
.ts,variable,tools
.ts,function,getTimeRange
.ts,variable,match
.ts,variable,IMAGES_API_BASE_URL
.ts,variable,extractParagraphsForAudio
.ts,variable,getTimeRange
.ts,variable,chunkSize
.ts,variable,pipelines
.ts,variable,AUDIO_API_BASE_URL
.ts,variable,eventStream
.ts,variable,getAllChats
.ts,variable,transcribeAudio
.ts,variable,hours
.ts,variable,error
.ts,variable,detailsTag
.ts,variable,processWeb
.ts,variable,deleteMemoryById
.ts,variable,getMessageContentParts
.ts,variable,getPrompts
.ts,function,removeLastWordFromString
.ts,variable,WEBUI_BUILD_HASH
.ts,variable,parts
.ts,variable,removeLastWordFromString
.ts,variable,importConfig
.ts,variable,getPromptByCommand
.ts,variable,toggleChatPinnedStatusById
.ts,variable,isLastActiveTab
.ts,variable,getModels
.ts,variable,generateAutoCompletion
.ts,variable,processYoutubeVideo
.ts,variable,deleteMessage
.ts,variable,showControls
.ts,variable,getPipelineValves
.ts,variable,getLdapConfig
.ts,variable,charToken
.ts,function,getWeekday
.ts,variable,updateLdapServer
.ts,function,detailsRenderer
.ts,variable,createNewKnowledge
.ts,function,parsePngText
.ts,variable,getQuerySettings
.ts,variable,currentTimezone
.ts,variable,USAGE_POOL
.ts,variable,deleteGroupById
.ts,function,capitalizeFirstLetter
.ts,variable,inlinePatterns
.ts,variable,withDefaults
.ts,variable,createNewPrompt
.ts,variable,capitalizeFirstLetter
.ts,function,getCredentials
.ts,interface,ModelMeta
.ts,variable,chatAction
.ts,variable,searchParams
.ts,variable,msg
.ts,variable,generateOpenAIChatCompletion
.ts,variable,updateFolderIsExpandedById
.ts,variable,activeUserIds
.ts,variable,cloneChatById
.ts,function,generateInitialsImage
.ts,variable,formattedDate
.ts,function,readPngChunks
.ts,variable,compressImage
.ts,variable,readPngChunks
.ts,function,katexTokenizer
.ts,variable,getToolById
.ts,variable,setBanners
.ts,variable,parsePngFile
.ts,variable,hash
.ts,variable,downloadChatAsPDF
.ts,variable,mimeType
.ts,function,cleanText
.ts,variable,scrollPaginationEnabled
.ts,variable,errorText
.ts,variable,prompt
.ts,variable,getOllamaConfig
.ts,variable,updateFileDataContentById
.ts,variable,buffer
.ts,variable,parentMessageId
.ts,variable,generatePrompt
.ts,variable,chatCompleted
.ts,function,titleGenerationTemplate
.ts,variable,deleteKnowledgeById
.ts,variable,getChannelThreadMessages
.ts,function,parseAttributes
.ts,variable,deleteModelById
.ts,variable,attributesString
.ts,variable,location
.ts,variable,getCurrentDateTime
.ts,variable,getPipelinesList
.ts,variable,updateAudioConfig
.ts,variable,deleteToolById
.ts,variable,currentChatPage
.ts,variable,diffDays
.ts,variable,expected
.ts,variable,downloadDatabase
.ts,variable,paragraphs
.ts,variable,updateFunctionById
.ts,variable,deleteTagById
.ts,variable,uploadDir
.ts,variable,getKnowledgeBaseList
.ts,variable,getImportOrigin
.ts,variable,updateUserSettings
