File Type,Element Type,Element Name
.svelte,variable,themeChangeHandler
.svelte,variable,_messageId
.svelte,function,resize
.svelte,variable,saveSettings
.svelte,variable,success
.svelte,variable,validateCommandString
.svelte,function,cancelEditMessage
.svelte,svelte_prop,exportHandler
.svelte,variable,messageParentId
.svelte,variable,legacy_collections
.svelte,variable,overlayElement
.svelte,variable,mediaStream
.svelte,variable,submitPrompt
.svelte,variable,query
.svelte,variable,triggerScroll
.svelte,variable,showSidepanel
.svelte,variable,handleModernBrowserUpload
.svelte,variable,sources
.svelte,variable,params
.svelte,variable,resultLines
.svelte,variable,toggleRichTextInput
.svelte,variable,screenWidth
.svelte,svelte_prop,outerClassName
.svelte,variable,flattenedEmojis
.svelte,svelte_prop,opacity
.svelte,variable,showPreview
.svelte,variable,confirmed
.svelte,variable,compressedSrc
.svelte,variable,confirmSelectWeb
.svelte,variable,downloadProgress
.svelte,variable,localStorageSettings
.svelte,variable,finishedMessages
.svelte,variable,selectedPipelinesUrlIdx
.svelte,variable,voices
.svelte,variable,aspectRatio
.svelte,svelte_prop,bottomPadding
.svelte,variable,responseContent
.svelte,variable,responseContainer
.svelte,variable,downloadPdf
.svelte,variable,handleMediaQuery
.svelte,variable,onTaskClick
.svelte,variable,modals
.svelte,variable,cellContent
.svelte,svelte_prop,code
.svelte,variable,userAgent
.svelte,variable,tools
.svelte,variable,collections
.svelte,variable,columns
.svelte,variable,showAddTextContentModal
.svelte,variable,playAudio
.svelte,variable,src
.svelte,variable,chunkSize
.svelte,variable,resize
.svelte,variable,pipelines
.svelte,variable,floatingInput
.svelte,svelte_prop,screenCaptureHandler
.svelte,variable,cancelEditMessage
.svelte,variable,TTSModelLoading
.svelte,variable,cameraStream
.svelte,svelte_prop,autoScroll
.svelte,variable,expectedScore
.svelte,variable,analyser
.svelte,variable,copied
.svelte,svelte_prop,attributes
.svelte,variable,stopRecordingCallback
.svelte,variable,modelId
.svelte,variable,adminConfig
.svelte,variable,title
.svelte,variable,floatingButtons
.svelte,svelte_prop,accessControl
.svelte,svelte_prop,capabilities
.svelte,variable,description
.svelte,svelte_prop,token
.svelte,function,closeFloatingButtons
.svelte,variable,modelTag
.svelte,svelte_prop,tagHandler
.svelte,variable,csv
.svelte,variable,selectedModel
.svelte,variable,error
.svelte,variable,sizeToWidth
.svelte,variable,userMessage
.svelte,variable,siblingOffset
.svelte,variable,resizeObserver
.svelte,function,calculateRMS
.svelte,variable,imageCompressionSize
.svelte,variable,nameUpdateHandler
.svelte,variable,dragImage
.svelte,variable,updatedUser
.svelte,function,stopResponse
.svelte,variable,videoId
.svelte,function,updateContent
.svelte,variable,syncDirectoryHandler
.svelte,function,cosineSimilarity
.svelte,svelte_prop,downloadHandler
.svelte,function,processDirectory
.svelte,variable,updateOllamaHandler
.svelte,variable,nodeTypes
.svelte,variable,OPENAI_API_URL
.svelte,svelte_prop,version
.svelte,variable,openaiConfig
.svelte,svelte_prop,key
.svelte,variable,language
.svelte,variable,node
.svelte,variable,durationSeconds
.svelte,variable,_chatId
.svelte,variable,contentExtractionEngine
.svelte,variable,updateAvailable
.svelte,variable,currentUtterance
.svelte,variable,exportHandler
.svelte,variable,eventCallback
.svelte,variable,sendPromptSocket
.svelte,svelte_prop,svg
.svelte,variable,toastContent
.svelte,svelte_prop,save
.svelte,variable,svgBlob
.svelte,variable,distances
.svelte,variable,getModels
.svelte,variable,modelMessages
.svelte,variable,messageContentParts
.svelte,variable,userCount
.svelte,svelte_prop,users
.svelte,variable,showPercentage
.svelte,variable,deleteMessage
.svelte,variable,currentName
.svelte,variable,closeFloatingButtons
.svelte,variable,createAPIKeyHandler
.svelte,variable,opponents
.svelte,variable,toggleResponseAutoPlayback
.svelte,variable,showNextMessage
.svelte,svelte_prop,state
.svelte,svelte_prop,getStartedHandler
.svelte,variable,updateRoleHandler
.svelte,variable,fileInputElement
.svelte,variable,chatIdUnsubscriber
.svelte,variable,speedOptions
.svelte,variable,toggleTitleAutoGenerate
.svelte,svelte_prop,tippyOptions
.svelte,variable,stopResponse
.svelte,variable,TTS_AZURE_SPEECH_REGION
.svelte,variable,isInHeading
.svelte,variable,updateContent
.svelte,variable,cosineSimilarity
.svelte,variable,similarities
.svelte,variable,shareUrl
.svelte,variable,webhookUrl
.svelte,variable,groups
.svelte,function,saveCode
.svelte,variable,chatText
.svelte,variable,querystring
.svelte,variable,showConfigModal
.svelte,variable,indeterminate
.svelte,svelte_prop,showMessage
.svelte,variable,renameHandler
.svelte,variable,deleteHandler
.svelte,variable,collapsible
.svelte,variable,grow
.svelte,function,searchSettings
.svelte,variable,APIKeyCopied
.svelte,variable,messagesLoading
.svelte,variable,feedbackTags
.svelte,variable,_token
.svelte,variable,textareaElement
.svelte,function,arraysEqual
.svelte,svelte_prop,onConfirm
.svelte,variable,templateFound
.svelte,function,calculatePercentage
.svelte,variable,shareHandler
.svelte,variable,toastType
.svelte,variable,fileUploadEnabled
.svelte,variable,autoScroll
.svelte,function,stopDurationCounter
.svelte,variable,metaThemeColor
.svelte,svelte_prop,shareEnabled
.svelte,variable,toggleResponseAutoCopy
.svelte,svelte_prop,admin
.svelte,variable,dispatch
.svelte,variable,initChatHandler
.svelte,variable,token
.svelte,variable,groupedMessageIds
.svelte,svelte_prop,showShortcutsHandler
.svelte,svelte_prop,custom
